year,ENE01,ENE02,ENE03,ENE04,ENE05,ENE06,ENE07,ENE08,ENE09,ENE10,ENE11,ENE12,ENE13,ENE14,ENE15,ENE16,ENE17,ENE18,ENE19,ENE20,ENE21,ENE22,ENE23,ENE24,ENE25,ENE26,ENE27,ENE28,TRA01,TRA02,TRA03,TRA04,TRA05,TRA06,TRA07,TRA08,TRA09,TRA10,PRO01,PRO02,PRO03,PRO04,PRO05,PRO06,PRO07,PRO08,AGRI01,AGRI02,AGRI03,AGRI04,AGRI05,AGRI06,AGRI07,AGRI08,USC01,USC02,USC03,USC04,USC05,USC06,USC07,USC08,USC09,USC10,USC11,USC12,USC13,USC14,USC15,RES01,RES02,RES03,RES04,RES05,RES06,RES07,RES08
2032,4.309833646,4.935734348,5.60166441,1.685408383,4.705549244,10.44,9.279861497,1.147920076,0.02,0,-0.507843999,3.860899551,1.67566598,1,0,0,0,0.072557133,0.039082108,0.062647709,0.091891457,0.18,0.001716514,0.023499889,0.086862175,0.060323194,0.078106318,1.001783054,0.001767378,2.078436581,2.917256842,3.108783511,0.496866365,0.139962935,1.608578678,0.486669924,2.156238751,0.974377568,3.432039613,2.227393709,3.432039613,1.206701696,1.413258142,0.576840058,0.516457036,0.295691352,2.741045184,2.901305567,0.635563777,0.543385892,0.005837497,0.361249715,0.295360033,0.341862949,12.12,17.68,10.1,12.44,6.22,3.63,2.72,1.425658314,1.35,0.9,2.5,2.18,0.052272,3.741984892,2.868794631,0.960697843,4.097543144,1.225547787,0.197579923,0.018794987,0.055918777,0.046977277,0.006922246
2033,3.773575257,4.381405596,5.247959208,1.367364786,4.137758924,10.19,9.164133973,1.077892467,0.02,0,-0.83157308,3.918388083,1.738288344,1,0,0,0,0.074455318,0.041239314,0.064286652,0.091891457,0.18,0.00176142,0.024114676,0.089134598,0.061901324,0.083889552,1.001783054,0.001855747,2.182358411,3.089100141,3.305791418,0.43183324,0.139962935,1.610196163,0.497804614,2.238858599,1.040926948,3.527871638,2.289588693,3.527871637,1.24039614,1.452720212,0.592947025,0.540822575,0.309641552,2.741045184,2.901305567,0.697202625,0.543385892,0.006644306,0.364997643,0.296600385,0.340194067,12.07,17.64,10.05,12.42,6.21,3.57,2.68,1.623666413,1.43,0.95,2.49,2.18,0.104544,3.913659023,3.02774425,1.000042427,4.227334379,1.267304737,0.205573155,0.019450613,0.055918777,0.046977277,0.006922246
2034,3.792615705,4.40677766,5.10173567,1.412724287,3.795880713,10.73,9.326035069,0.966385381,0.02,0,3.566036145,3.805821426,1.802888904,1,0,0,0,0.069243537,0.039671782,0.059786665,0.091891457,0.18,0.001638123,0.022426678,0.082895284,0.057568307,0.081622027,1.001783054,0.001948534,2.291476331,3.270834628,3.514728157,0.365158197,0.139962935,1.611857319,0.508588247,2.324462476,1.110138304,3.624529514,2.352319655,3.624529515,1.274380953,1.492522356,0.609192798,0.566202277,0.324172399,2.741045184,2.901305567,0.758841473,0.543385892,0.007522304,0.368743089,0.29784073,0.338589236,12.01,17.59,10.01,12.39,6.2,3.52,2.64,1.821674512,1.43,0.95,2.49,2.18,0.156816,4.089551126,3.195372518,1.038299502,4.353863651,1.308017963,0.213346618,0.020092784,0.055918777,0.046977277,0.006922246
2035,3.705955902,4.752511932,5.548302591,1.247335931,3.971981468,11.34,10.43858745,0.69908696,0.02,0,3.069539424,4.913710205,1.869591588,1,0,0,0,0.067009011,0.039668152,0.057857317,0.091891457,0.18,0.001585259,0.021702957,0.080220209,0.055710547,0.082604574,1.001783054,0.002045961,2.588405145,3.55411124,3.736294091,0.296839627,0.139962935,1.613563327,0.518897249,2.413286043,1.45884586,3.721463643,2.415229905,3.721463644,1.308462896,1.532438255,0.625485002,0.592647025,0.339313026,2.741045184,2.901305567,0.823398301,0.543385892,0.008400301,0.372486191,0.299081067,0.337044837,11.96,17.54,9.97,12.37,6.18,3.46,2.6,2.019682611,1.43,0.95,2.49,2.18,0.209088,4.277006243,3.372153289,1.075534928,4.477333781,1.347751918,0.220913634,0.02072223,0.055918777,0.046977277,0.006922246
2036,4.300705483,5.192971103,6.016359456,1.540343855,4.303489001,12.12,7.935270062,0.79517176,0.02,0,3.084783627,4.986234474,1.938472771,1,0,0,0,0.067588333,0.041556264,0.058357519,0.091891457,0.18,0.001598965,0.021890589,0.080913748,0.056192189,0.087102423,1.001783054,0.002148259,2.706555516,3.763456204,4.130769454,0.234669729,0.139962935,1.615315397,0.528585689,2.505491486,1.526289917,3.818604922,2.478274595,3.818604923,1.342617672,1.572439455,0.641812022,0.620209693,0.355093705,2.741045184,2.901305567,0.887955129,0.543385892,0.009278299,0.376227075,0.300321396,0.335557521,11.91,17.49,9.93,12.34,6.17,3.41,2.56,2.21769071,1.43,0.95,2.49,2.18,0.26136,4.472971253,3.558586291,1.111705563,4.597552423,1.386412439,0.228260326,0.021328245,0.055918777,0.046977277,0.006922246
2037,4.700473765,5.557678901,6.399841195,2.176770401,5.146192008,13.08,8.875868763,0.899816296,0.02,0,3.4891305,5.966374577,2.009592855,1,0,0,0,0.064257997,0.040977655,0.055482021,0.091891457,0.18,0.001520178,0.020811955,0.076926818,0.053423385,0.086543623,1.001783054,0.002255672,2.826874271,3.980399036,4.411757142,0.179434166,0.139962935,1.617114773,0.614374248,2.601220492,1.596431736,3.916042592,2.541511641,3.916042591,1.376876659,1.612562703,0.658188858,0.648634702,0.371368107,2.741045184,2.901305567,0.952511957,0.543385892,0.010156296,0.379965859,0.301561718,0.334124181,11.86,17.45,9.88,12.32,6.16,3.36,2.52,2.415698809,1.43,0.95,2.49,2.18,0.209088,4.675877999,3.755198535,1.146798729,4.71444013,1.424007435,0.235389166,0.021920288,0.055918777,0.046977277,0.006922246
2038,4.521440248,5.602629758,6.487788523,2.014734112,4.845690498,13.21,9.102346346,1.14091177,0.02,0,3.364385062,6.611566244,2.083054976,1,0,0,0,0.063588777,0.042004618,0.054904199,0.091891457,0.18,0.001504346,0.020595208,0.076125658,0.052867003,0.08947722,1.001783054,0.002368456,2.949282874,4.205176162,4.717564647,0.131981795,0.139962935,1.618962732,0.632805475,2.700694873,1.669379228,4.013403578,2.604698922,4.013403578,1.411108685,1.652654375,0.674552806,0.678259205,0.388329264,2.741045184,2.901305567,1.026739803,0.543385892,0.011176672,0.383702651,0.302802033,0.332741929,11.81,17.4,9.84,12.29,6.15,3.3,2.48,2.613706908,1.43,0.95,2.49,2.18,0.156816,4.887996712,3.932008503,1.180876409,4.828191302,1.460599176,0.243283386,0.022499061,0.055918777,0.046977277,0.006922246
2039,5.069378753,5.887555411,6.883581112,1.809938246,5.2285723,14.23,9.077591802,1.271507172,0.02,0,3.625917319,6.843190487,2.158963313,1,0,0,0,0.064463,0.044055815,0.055659025,0.091891457,0.18,0.001525027,0.020878352,0.077172238,0.053593822,0.094744304,1.001783054,0.002486878,3.073689511,4.438028652,5.04997148,0.093229026,0.139962935,1.620860585,0.65178964,2.804147119,1.74524462,4.110288956,2.667577533,4.110288957,1.445173487,1.6925502,0.690836816,0.70914091,0.406010218,2.741045184,2.901305567,1.10096765,0.543385892,0.012197048,0.38743755,0.304042339,0.331408084,11.76,17.35,9.8,12.27,6.13,3.25,2.44,2.811715007,1.43,0.95,2.49,2.18,0.104544,5.109745613,4.1490096,1.213997336,4.938990195,1.496246681,0.249042781,0.023065233,0.055918777,0.046977277,0.006922246
2040,5.152173611,6.14115168,6.973423601,2.387429422,5.631057177,15.18,10.60709927,0.933266106,0.01,0,2.590330127,7.278544567,2.237425448,1,0,0,0,0.059382039,0.042393419,0.051271992,0.091891457,0.18,0.001404825,0.019232724,0.071089538,0.049369567,0.09113923,1.001783054,0.002611222,3.199987965,4.81931965,5.410873056,0.064164449,0.139962935,1.622809681,0.671343329,2.911825431,2.195592759,4.206250164,2.729856355,4.206250162,1.478913351,1.732065465,0.706965496,0.741339908,0.424445373,2.741045184,2.901305567,1.175195496,0.543385892,0.013217423,0.391170651,0.305282638,0.330120145,11.71,17.3,9.76,12.24,6.12,3.2,2.4,2.13848747,1.43,0.95,2.49,2.18,0.052272,5.341561915,4.377858956,1.246217171,5.046958984,1.531004737,0.255590695,0.023619448,0.055918777,0.046977277,0.006922246
2041,5.134584145,6.164841196,7.137236604,2.189266621,5.55359246,15.55,7.403759303,1.281696565,0.01,0,2.351658253,7.772293304,2.318522105,1,0,0,0,0.058021464,0.043190693,0.050097236,0.091891457,0.18,0.001372637,0.01879206,0.069460718,0.0482384,0.09297247,1.001783054,0.002741783,3.333996441,5.072072572,5.978858003,0.039750205,0.139962935,1.624811403,0.691483629,3.023942307,2.294357721,4.301110387,2.791420642,4.301110388,1.512266111,1.771127365,0.722909129,0.773848768,0.443057936,2.741045184,2.901305567,1.252924918,0.543385892,0.014237799,0.394902039,0.306522929,0.328875783,11.66,17.26,9.72,12.22,6.11,3.15,2.37,2.336495569,1.43,0.95,2.49,2.18,0.052272,5.583902678,4.619203487,1.277533732,5.151911132,1.564728067,0.261953312,0.024156386,0.055918777,0.046977277,0.006922246
2042,5.351994679,6.424774411,7.378514325,2.194952105,5.854745432,16.46,8.550011732,1.134032718,0.01,0,4.089698818,7.981945521,2.402324349,2,0,0,0,0.060191838,0.046641062,0.051971194,0.091891457,0.18,0.001423983,0.019495003,0.072058994,0.050042826,0.100678449,1.001783054,0.002878873,3.476170196,5.326231206,6.405483666,0.020523987,0.139962935,1.626867171,0.712228137,3.140704538,2.397073283,4.394780812,2.852212747,4.394780813,1.545200539,1.809699323,0.738652785,0.807710005,0.462444785,2.741045184,2.901305567,1.331023645,0.543385892,0.015329363,0.398631795,0.307763212,0.327672823,11.61,17.21,9.67,12.19,6.1,3.11,2.33,2.534503668,1.43,0.95,2.48,2.17,0.104544,5.83724571,4.873725429,1.307959791,5.253793956,1.597362443,0.268135844,0.024681227,0.055918777,0.046977277,0.006922246
2043,5.527770887,6.659122948,7.710937458,2.302206389,5.884357327,17.29,9.068810364,1.536922918,0.02,0,3.516057189,8.440456103,2.488923293,2,0,0,0,0.062255759,0.050138011,0.053753237,0.091891457,0.18,0.00147281,0.020163468,0.074529828,0.051758747,0.108677016,1.001783054,0.003022816,3.626990736,5.581304243,6.857672554,0.007065635,0.139962935,1.628978445,0.733594982,3.262366017,2.503897466,4.486944614,2.912027054,4.486944613,1.577605239,1.847650879,0.754143216,0.842985736,0.482641487,2.741045184,2.901305567,1.349115119,0.543385892,0.016420928,0.402359993,0.309003487,0.326509232,11.56,17.16,9.63,12.17,6.08,3.06,2.29,2.732511768,1.43,0.95,2.48,2.17,0.156816,6.102090517,5.14214427,1.337546069,5.352781302,1.628968086,0.274148552,0.025194569,0.055918777,0.046977277,0.006922246
2044,5.724926884,6.975141091,8.004213666,2.441737638,5.764962166,18.47,10.61872949,1.300869877,0.02,0,3.182331132,8.919102774,2.578409436,2,0,0,0,0.061077568,0.051516346,0.052735956,0.091891457,0.18,0.001444937,0.019781874,0.07311935,0.050779212,0.111258377,1.001783054,0.003173957,3.786967306,5.836747724,7.336914427,0,0.139962935,1.631146723,0.755602831,3.389193493,2.614994617,4.577274597,2.970651213,4.577274597,1.609365171,1.884847298,0.769325428,0.879740666,0.503685086,2.741045184,2.901305567,1.367206593,0.543385892,0.017512492,0.406086705,0.310243755,0.32538311,11.51,17.12,9.59,12.14,6.07,3.01,2.26,2.930519867,1.43,0.95,2.48,2.17,0.209088,6.378959277,5.425218779,1.366340635,5.449037944,1.65960206,0.28000116,0.025696985,0.055918777,0.046977277,0.006922246
2045,5.902657478,6.9490234,8.184964673,2.794000741,6.073340441,19.55,12.66991167,1.436292348,0.02,0,3.644987379,9.097129487,2.670872492,2,0,0,0,0.06393168,0.056359613,0.05520027,0.091891457,0.18,0.001512458,0.020706267,0.076536165,0.053152088,0.12150672,1.001783054,0.003332655,3.956638456,6.26238363,7.84478411,0,0.139962935,1.633373544,0.755609693,3.521467703,3.192484876,4.665433537,3.027866367,4.665433539,1.640361767,1.921149718,0.784142742,0.918042219,0.525614186,2.741045184,2.901305567,1.385298068,0.543385892,0.018604057,0.409811996,0.311484014,0.324292674,11.46,17.07,9.55,12.12,6.06,2.96,2.22,3.128527966,1.43,0.95,2.48,2.17,0.26136,6.66839788,5.723749156,1.394389052,5.542720071,1.689317842,0.285702884,0.026189024,0.055918777,0.046977277,0.006922246
2046,6.078729806,7.300635041,8.444364873,2.790921104,6.154536257,20.92,10.71177968,1.364399617,0.02,0,2.33519404,9.354279183,2.766385351,2,0,0,0,0.064651406,0.059457465,0.0558217,0.091891457,0.18,0.001529485,0.020939373,0.07739779,0.053750461,0.128186532,1.001783054,0.003499288,4.138354244,6.523978993,8.605956674,0,0.139962935,1.63566049,0.752328595,3.659456351,3.332976553,4.751237615,3.083553213,4.751237617,1.670530395,1.956482443,0.798564262,0.957960668,0.548469021,2.741045184,2.901305567,1.406891118,0.543385892,0.019743081,0.413535926,0.312724265,0.323236256,11.41,17.03,9.51,12.09,6.05,2.92,2.19,3.326536065,1.43,0.95,2.48,2.17,0.209088,6.970976995,6.038579292,1.420903525,5.633936868,1.718210376,0.290694828,0.026665066,0.055918777,0.046977277,0.006922246
2047,6.480267102,7.652720472,8.897426867,2.90540069,6.77306952,22.97,13.14404641,1.570197165,0.02,0,4.010161268,9.52549516,2.86501783,2,0,0,0,0.064853876,0.062114752,0.055996518,0.091891457,0.18,0.001534275,0.02100495,0.077640179,0.053918792,0.134132395,1.001783054,0.003674252,4.332894955,6.788503033,9.181002042,0,0.139962935,1.638009183,0.772021112,3.803439694,3.479087898,4.834506813,3.137594921,4.834506813,1.699807761,1.990771345,0.812559733,0.999569278,0.572291536,2.741045184,2.901305567,1.428484168,0.543385892,0.020882105,0.417258554,0.313964508,0.322212287,11.36,16.98,9.47,12.07,6.04,2.87,2.15,3.524544164,1.43,0.95,2.48,2.17,0.156816,7.287293201,6.370599154,1.447655921,5.722801071,1.746377034,0.296640285,0.027130379,0.055918777,0.046977277,0.006922246
2048,6.329009542,7.72159774,8.864320768,2.79992312,6.722196284,23.99,12.94715152,1.630037781,0.02,0,3.934414041,9.900559422,2.966851646,2,0,0,0,0.066575815,0.063763964,0.057483285,0.091891457,0.18,0.001575011,0.021562653,0.079701607,0.055350393,0.143616958,1.001783054,0.003857965,4.541088792,7.055594627,9.781384851,0,0.139962935,1.640421291,0.791716338,3.953739362,3.631043696,4.914908448,3.189775583,4.914908448,1.728076895,2.023879432,0.826073237,1.042944444,0.597125474,2.741045184,2.901305567,1.450077218,0.543385892,0.022021129,0.420979934,0.315204742,0.321219296,11.31,16.93,9.43,12.05,6.02,2.83,2.12,3.026695229,1.43,0.95,2.48,2.17,0.104544,7.617970164,6.7207473,1.47402517,5.809445978,1.773852042,0.301887782,0.027585485,0.055918777,0.046977277,0.006922246
2049,6.723143865,8.065095722,9.390761038,2.847835166,6.824238874,25.07,13.40912208,1.626990715,0.02,0,3.427280727,9.835827819,3.071965668,3,0,0,0,0.064618867,0.061889669,0.055793605,0.091891457,0.18,0.001528715,0.020928834,0.077358836,0.053723408,0.145379405,1.001783054,0.004050863,4.763814717,7.324849222,10.40820123,0,0.139962935,1.642898526,0.811317323,4.110694416,3.789077726,4.992107484,3.239877756,4.992107482,1.755219999,2.055668739,0.839048465,1.087613086,0.622699975,2.741045184,2.901305567,1.471670268,0.543385892,0.023160153,0.424700117,0.316444968,0.320255897,11.27,16.89,9.39,12.02,6.01,2.79,2.09,2.851316627,1.43,0.95,2.48,2.17,0.052272,7.96365986,7.090013534,1.49916682,5.893997958,1.800674879,0.30699881,0.02803088,0.055918777,0.046977277,0.006922246
2050,7.117278188,8.408593704,9.917201308,2.895747212,6.926281464,26.15,13.87109264,1.626990715,0.02,0,3.634623216,10.31737646,3.173405792,3,0,0,0,0.062101331,0.059478461,0.053619899,0.091891457,0.18,0.001469156,0.020113452,0.074344953,0.051630356,0.145702114,1.001783054,0.004253406,5.002005453,7.763728961,11.06259358,0,0.139962935,1.645442647,0.830708197,4.27466246,4.525490753,5.065769015,3.28768409,5.065769014,1.78111932,2.086001361,0.851429127,1.134158055,0.649348745,2.741045184,2.901305567,1.493397031,0.543385892,0.02435602,0.428419149,0.317685186,0.319320787,11.22,16.84,9.35,12,6,2.74,2.06,2.851316627,1.43,0.95,2.48,2.17,0.052272,8.325043869,7.485550968,1.523671929,6.010650601,1.825887459,0.311981085,0.02846704,0.055918777,0.046977277,0.006922246
